feature,binary_decision_tree_importance,binary_logistic_regression_importance,binary_random_forest_importance,binary_avg_importance,grouped_decision_tree_importance,grouped_logistic_regression_importance,grouped_random_forest_importance,grouped_avg_importance,all_decision_tree_importance,all_logistic_regression_importance,all_random_forest_importance,all_avg_importance,total_avg,total_avg_scaled
network_protocols_src_has_arp,5.040862194011431e-05,0.007583771165630691,0.0007814635011500918,0.008415643288720897,0.0009353085050968254,0.044605273485603274,0.002806311612625945,0.048346893603326044,0.0,0.021718630581130802,0.0012764598380688118,0.022995090419199615,0.026585875770415518,0.044881885579310304
network_mss_avg,0.0,0.0,0.010645449788009744,0.010645449788009744,0.001316294427246866,0.0,0.0505628174889339,0.05187911191618077,0.0,0.0,0.013629833102406641,0.013629833102406641,0.02538479826886572,0.042822000078052834
network_ports_src_has_557,0.0,0.009337593303829784,0.0,0.009337593303829784,0.0,0.014136530344236932,0.0,0.014136530344236932,0.0,0.018444189141501525,0.03289661236522211,0.051340801506723634,0.02493830838493012,0.04205625595480489
network_mss_max,0.0,0.0,0.006504482619290054,0.006504482619290054,0.0012131699478873574,0.0,0.051272459435317,0.052485629383204356,0.0,0.0,0.006799013962328604,0.006799013962328604,0.021929708654941007,0.036896413267805094
network_protocols_dst_has_arp,9.09519934960861e-05,0.0025130131195150686,0.0004992044904986115,0.0031031696035097663,0.0001902496818880855,0.04046555641463984,0.002073744602492891,0.04272955069902082,0.0012959848937970806,0.017105972616336416,0.0015206576745040177,0.019922615184637515,0.021918445162389364,0.036877096025603226
network_ports_src_has_443,6.79815507550749e-05,0.0,0.00035402660171223447,0.00042200815246730937,0.0006748987097725318,0.0,0.0038551645637482815,0.004530063273520814,0.0032138927387612344,0.0,0.05493989251441355,0.058153785253174786,0.02103528555972097,0.03536244966973898
network_protocols_dst_has_lbtrm,0.0,0.034977207633364135,0.0,0.034977207633364135,0.0,0.014863076875304285,4.403400213044492e-06,0.01486748027551733,0.0,0.004167046526058787,0.0,0.004167046526058787,0.018003911478313418,0.03016354825736397
network_header-length_std_deviation,0.0,0.019619048305980286,0.0,0.019619048305980286,0.0,0.012798925741743109,1.220451136169345e-05,0.012811130253104801,0.0,0.020176365567371148,0.0,0.020176365567371148,0.017535514708818745,0.029360233139835802
network_ports_src_has_554,0.0,0.0,0.0,0.0,0.0,0.0,0.002433598456179492,0.002433598456179492,0.003407355336921561,0.0,0.04629817514845888,0.04970553048538044,0.017379709647186645,0.0290930225834276
network_ports_src_has_6668,0.0,0.0,0.0,0.0,0.000904500131064034,0.0,0.0055579940511728924,0.006462494182236926,0.01725237397513049,0.0,0.02603971699146079,0.043292090966591285,0.01658486171627607,0.02772983350822261
network_protocols_dst_has_udp,0.0,0.036965351147681944,0.0,0.036965351147681944,0.0,0.0073060105758846385,0.0,0.0073060105758846385,0.0,0.002325079341893322,0.0,0.002325079341893322,0.015532147021819967,0.02592439486394466
network_ttl_max,0.0004382300635354581,0.0,0.007700626229760533,0.008138856293295992,0.0008878933957812379,0.0,0.009888110709630719,0.010776004105411957,0.000356561205014664,0.0,0.017199736048284314,0.017556297253298978,0.012157052550668975,0.020136002226893893
network_protocols_src_count,0.0014490181980571471,0.0,0.002044316343789671,0.003493334541846818,0.001486779097622215,0.0,0.01579437078853983,0.017281149886162046,0.001302703797868352,0.0,0.009414436182649942,0.010717139980518294,0.01049720813617572,0.01728931711344695
network_protocols_dst_count,8.32321254312587e-05,0.0,0.0028776188939567578,0.0029608510193880164,0.005852995022779105,0.0,0.01644158925910119,0.022294584281880296,0.0007292659497310087,0.0,0.003832442127960705,0.0045617080776917136,0.009939047792986676,0.016332054658003036
network_protocols_dst_has_tcp,0.010652007452720451,0.0,0.0040718966929505175,0.014723904145670968,0.00010664557702003868,0.0,0.004786236375334546,0.004892881952354584,0.00045018021527883296,0.0,0.0039033539007295747,0.004353534116008408,0.007990106738011319,0.012989559759240063
network_protocols_dst_has_ssh,0.0,0.003081124241467184,0.0,0.003081124241467184,0.0,0.01379573600226026,0.0009837177051405506,0.014779453707400811,0.0,0.003367921140681692,0.000318550566616966,0.0036864717072986578,0.007182349885388884,0.011604231479331945
network_tcp-flags_max,0.0,0.0,0.004191621255472054,0.004191621255472054,0.00010774053822010329,0.0,0.006780298255995649,0.006888038794215752,0.0,0.0,0.005447714446810852,0.005447714446810852,0.005509124832166219,0.008734598151735037
network_protocols_src_has_ssh,0.0,0.0022165855766771874,0.0,0.0022165855766771874,0.0,0.004205182349182327,0.00016873883740147185,0.004373921186583799,0.0029976274141485884,0.004680308099325901,0.0008805783212979823,0.008558513834772472,0.00504967353267782,0.007946624795204039
network_protocols_all_count,0.00044991630311051614,0.0,0.001847107173770272,0.002297023476880788,0.00076640048910407,0.0,0.005538307379600752,0.006304707868704822,0.0006645394464331194,0.0,0.004970626637558972,0.0056351660839920915,0.004745632476525901,0.007425184869348947
network_ports_src_has_9595,0.0,0.0,0.0,0.0,0.0,0.0,0.0009405571095815675,0.0009405571095815675,0.001617382883488531,0.0,0.008120595355127495,0.009737978238616026,0.003559511782732531,0.005390950761446865
network_header-length_avg,2.7494123904140682e-05,0.0,0.00751763210504394,0.007545126228948081,5.6718166931266566e-21,0.0,0.0011702786796021101,0.0011702786796021101,0.0,0.0,0.0007754564834334053,0.0007754564834334053,0.0031636204639945323,0.004711984760926629
network_header-length_max,6.537824698063605e-06,0.0,0.007098067370266296,0.00710460519496436,8.102595275895229e-22,0.0,0.0016986760479006798,0.0016986760479006798,0.0,0.0,0.0001502799628330854,0.0001502799628330854,0.0029845204018993754,0.004404822549738686
network_header-length_min,0.0,0.0,0.002069181683494541,0.002069181683494541,0.0,0.0,0.003930957036198321,0.003930957036198321,0.0,0.0,0.00039774951381498603,0.00039774951381498603,0.0021326294111692827,0.002943802841857641
